gene_id	gene_name	JH-2-009-HH11A-C47BD	JH-2-055-FC9GH-CG8EA	JH-2-079-CB92G-FG226	WU.487_pt	WU.536_pt	WU.561_pt	mn2_pt	mn3_pt
ENSG00000003147.19	ICA1	185	91	134.001	53	81.001	80.999	57	23
ENSG00000003249.15	DBNDD1	37	16	46	4	17	8.001	23	151.001
ENSG00000003393.16	ALS2	1189	828	714.999	634.998	1153.999	1235	1046.999	670.002
ENSG00000003400.16	CASP10	474.002	296	84	274	377.001	219	282	80
ENSG00000003402.21	CFLAR	2674.998	4273.988	1553	1329	2968	1471	1615.001	713
ENSG00000003436.16	TFPI	4981.999	1428	387.999	1535.001	1569	1231.001	6731	38.999
ENSG00000003509.16	NDUFAF7	181	149	140.001	149	180.999	213.999	180	230
ENSG00000003756.17	RBM5	2355.999	2314	1017.998	2393.64	2085.999	2804	1499.002	2573.549
ENSG00000003987.14	MTMR7	4	4	13	2	10	3	1	0
ENSG00000003989.18	SLC7A2	3279	1324	433	3825	884	310	80	23
ENSG00000004059.11	ARF5	1097.827	373	785.615	291.999	391	876.199	637	576
ENSG00000004139.14	SARM1	334.016	297.999	233	254	304.553	296.001	149	209
ENSG00000004142.12	POLDIP2	796	453	788	570	344	760	496	706
ENSG00000004399.13	PLXND1	4291.001	2657.001	696.999	290.001	1858.001	1945.001	1499.999	822.999
ENSG00000004455.18	AK2	1305.002	1278.99	810.975	809.998	1051.001	809.973	1153.98	829.972
ENSG00000004468.13	CD38	330	632.999	5	66	219.001	21	70	24
ENSG00000004478.8	FKBP4	1067	428	1271	519	417.001	1308.999	737	914.001
ENSG00000004487.18	KDM1A	1065	900.999	1034.001	1476.002	861.998	1006	1230	824
ENSG00000004534.15	RBM6	1277.999	1917.001	395	1715.361	1667.999	2638.999	992	1252.449
ENSG00000004660.15	CAMKK1	279.999	197	183	80.001	97	107.001	187.001	171
ENSG00000004700.16	RECQL	1254	728	705	1177	563	917.001	1548.001	690
ENSG00000004766.17	VPS50	502	312.999	407.002	279.999	278.001	423.001	297	426
ENSG00000004776.13	HSPB6	39	19	86	8	5	27	29	2
ENSG00000004777.19	ARHGAP33	83	144.999	75.001	75	65.001	167	25	55
ENSG00000004779.10	NDUFAB1	467	163.999	225.001	206.999	154	227.999	313.001	402
ENSG00000004799.8	PDK4	891	442.001	215	113	1931	386	154	200.999
ENSG00000004809.14	SLC22A16	94.999	4	20	11	15	12	0	0
ENSG00000004838.14	ZMYND10	25	4	7	5	13	8	7	4
ENSG00000004846.17	ABCB5	191	2	0	11.999	8	2	0	0
ENSG00000004848.8	ARX	1	0	30	30	1	5	2	0
ENSG00000004864.14	SLC25A13	289.999	269.001	329	171.001	189.999	401	188	192
ENSG00000004866.22	ST7	167.001	153.75	371	144.366	149	282.479	279.596	176.01
ENSG00000004897.12	CDC27	1580.999	929.998	1624.001	1745.002	1000.002	1457.001	1446	1122
ENSG00000004939.16	SLC4A1	3	2	0	0	1	2	1	13
ENSG00000004948.16	CALCR	29.999	1	20	3	16	7	2	1
ENSG00000004961.15	HCCS	219	80	104	74	95	110	232	120
ENSG00000004975.12	DVL2	699.998	266.999	336	404.002	302	564	382.998	320.999
ENSG00000005001.10	PRSS22	0	0	1	0	0	0	4	0
ENSG00000005007.13	UPF1	1496	995.001	1550.999	629	611.999	562	953.001	688.999
ENSG00000005020.13	SKAP2	1012	371.999	405	656.999	499	420.001	360	35
ENSG00000005022.6	SLC25A5	1467	612	1127	496	459	859	1794	1554
ENSG00000005059.16	MCUB	375	208.001	105	127	152.999	81	250	586
ENSG00000005073.6	HOXA11	7	13	280	38	1	24	153	0
ENSG00000005075.16	POLR2J	291.589	101.736	230.135	71.888	100.503	257.145	83.667	178.775
ENSG00000005100.13	DHX33	306	249	292	130	175	341	236.001	484
ENSG00000005102.14	MEOX1	689.999	113	348	74	314	1866.999	12	44
ENSG00000005108.17	THSD7A	758	498	1397	383	650	1270.001	77	28
ENSG00000005156.12	LIG3	580.998	544.001	1526	1136.999	479	582	407.999	1184.001
ENSG00000005175.10	RPAP3	298.999	217.001	294.001	379	147	382	267	308.999
ENSG00000005187.12	ACSM3	20	20	10	70	37	14	15	30
ENSG00000005189.20	REXO5	35.999	38.001	42	41	30	42	105.001	51
ENSG00000005194.15	CIAPIN1	461.995	262.001	495.001	145.999	179.001	176	211	324
ENSG00000005206.17	SPPL2B	650	480.001	276.001	149.888	317	560.999	243	293.001
ENSG00000005238.20	FAM214B	677	358	91	128	231.999	215	535	53
ENSG00000005243.10	COPZ2	445	169	409	342	186	512	273	45.001
ENSG00000005249.13	PRKAR2B	382	147.999	192	102	141	143	94	1192
ENSG00000005302.19	MSL3	534.001	607.999	201	321	393.001	352	352.999	191
ENSG00000005339.15	CREBBP	1311.999	1618.999	2403	933	1128	1216.999	444	767.002
ENSG00000005379.17	TSPOAP1	131	471	193	28	218.002	275	13	0
ENSG00000005381.8	MPO	3	68	0	3	0	1	4	0
ENSG00000005421.9	PON1	0	4	0	5	0	14	1	1
ENSG00000005436.14	GCFC2	373.999	171	486.001	425	281.001	395.001	337	467
ENSG00000005448.17	WDR54	145.999	81	129	45	36	91	145	92
ENSG00000005469.12	CROT	205	164.001	370	148.999	159.001	265.999	200	114
ENSG00000005471.19	ABCB4	103	58	80	37	122.431	115	9	0
ENSG00000005483.22	KMT2E	1352.002	1693.999	1271.999	1230.999	1197.999	1034.001	1134.001	577.999
ENSG00000005486.17	RHBDD2	874.001	389	429	789	347.001	538.001	318	174
ENSG00000005513.10	SOX8	4764	290	331	88	1156	259	4	5
ENSG00000005700.15	IBTK	1667	1056.001	1488.999	1153.999	930	1487.998	1478.001	1413
ENSG00000005801.18	ZNF195	318	547	136.999	323	266.999	189	768	1610.002
ENSG00000005810.20	MYCBP2	2681.001	3585.002	3602.002	1442.999	3545.998	1958.002	2159.998	6579.998
ENSG00000005812.11	FBXL3	1548	580	966.999	288	677.999	461	453	432
ENSG00000005844.19	ITGAL	245.999	2402.002	60	82.001	392.998	67.999	94	16
ENSG00000005882.12	PDK2	358.001	182	516.999	262.001	213	320	110	158
ENSG00000005884.18	ITGA3	3225	2281.998	298.073	45	1203	216	631.001	95
ENSG00000005889.16	ZFX	1333.723	1183	2113.999	1100	1136.001	1434	1100.001	1170
ENSG00000005893.16	LAMP2	4453.001	1428	3916	1898	1905	2079.001	4860.001	808.001
ENSG00000005961.19	ITGA2B	19	13	28	19.999	5	74	11	56
ENSG00000005981.13	ASB4	6	7	62	10	2	23	3	0
ENSG00000006007.12	GDE1	1100	332.999	309.001	417.999	448	272.001	660	264.001
ENSG00000006015.18	REX1BD	443	270	217	119.999	174.001	122.001	143.001	120
ENSG00000006016.12	CRLF1	359	142.001	1255	53	327	374	11	1
ENSG00000006025.12	OSBPL7	159	190	26	167.001	182.999	104.999	38	128.001
ENSG00000006042.12	TMEM98	1047.999	316	1711.999	1095.999	515	596	37	495
ENSG00000006047.13	YBX2	3	0	28	0	1	35	1	3
ENSG00000006059.4	KRT33A	0	0	0	0	0	0	0	0
ENSG00000006062.18	MAP3K14	402	465	227	131	309.999	210.999	79	62
ENSG00000006071.16	ABCC8	11	18	2	21	66.002	4	33	41
ENSG00000006116.4	CACNG3	0	0	0	0	0	0	0	0
ENSG00000006118.15	TMEM132A	441	603.001	757	118	110	783	129.999	303.001
ENSG00000006125.18	AP2B1	2398.997	2254	2625	1687	1716.001	1159.999	1728.999	2489
ENSG00000006128.12	TAC1	417	102.999	58	174	171	24.999	3	3
ENSG00000006194.10	ZNF263	773.001	307.999	669	527.001	370.001	886	311.001	468
ENSG00000006210.7	CX3CL1	231	159	170.001	33	88	88	17	12
ENSG00000006282.21	SPATA20	414	367.999	762.002	529	522.001	1362.001	416	645.001
ENSG00000006283.18	CACNA1G	7	31	894	42	3	418	15	146.001
ENSG00000006327.14	TNFRSF12A	1075.001	590	311	48	281	356.999	622.999	318
ENSG00000006377.11	DLX6	6	5	69	42	0	36	1	0
ENSG00000006432.16	MAP3K9	26	77	118	9	32	140.001	13	64
ENSG00000006451.8	RALA	577.001	313	462	225	290	549.999	1099	401
ENSG00000006453.14	BAIAP2L1	66	152	161	26	31	69	128	82
ENSG00000006459.11	KDM7A	1238.001	1152	675.999	656	1010	874	801	551
ENSG00000006468.14	ETV1	3093	819.001	1742	400.002	1791.998	1553	1987.001	5993.001
ENSG00000006530.18	AGK	376.002	349.999	436.999	277	360.999	442.999	381	539.999
ENSG00000006534.17	ALDH3B1	525.001	158.999	97	19	243.999	50	389	11
ENSG00000006555.11	TTC22	1	33	2	6	7	3	1	0
ENSG00000006576.17	PHTF2	619.001	376	594	823	316	816	511	536.999
ENSG00000006606.9	CCL26	4	8	3	2	5	2	2	1
ENSG00000006607.14	FARP2	1014	673	804.002	363.999	1184	696	688	1222
ENSG00000006611.17	USH1C	1	1	171	0	0	2	3	1
ENSG00000006625.18	GGCT	356	179.001	233.974	621.99	132.384	168	382.001	480.999
ENSG00000006634.8	DBF4	107.001	123.969	183	176.988	56	232.999	244.97	195.985
ENSG00000006638.13	TBXA2R	40	25	38	4	9	68	41	24
ENSG00000006652.15	IFRD1	634.653	494.542	217.013	517.821	378.224	472.941	731.745	224.977
ENSG00000006659.13	LGALS14	0	0	0	0	0	0	1	0
ENSG00000006695.12	COX10	169.865	179.728	105.279	105.286	94.897	170.462	97.978	185.429
ENSG00000006704.11	GTF2IRD1	249.999	191	575	165	154	356	187	200
ENSG00000006712.15	PAF1	684	318	276	924	289	229	214	260
ENSG00000006715.16	VPS41	1465	825.001	1161	461.001	968	1418.001	858	1207.999
ENSG00000006740.18	ARHGAP44	91	68.999	55	111	65	123	16	17
ENSG00000006744.19	ELAC2	697	429.001	331.999	429	390.999	664.001	422.999	813.999
ENSG00000006747.15	SCIN	1364.764	105	36.001	36	450.999	26	43	8
ENSG00000006756.16	ARSD	443	421	841	94	262	1177.001	391	188.999
ENSG00000006757.12	PNPLA4	114	17	127	3	56	101	134	91
ENSG00000006788.14	MYH13	0	0	0	0	0	0	0	0
ENSG00000006831.10	ADIPOR2	1436	694	791	707.001	675.999	795	709	835
ENSG00000006837.12	CDKL3	53.332	9.85	46.229	11.694	24.67	25.399	8.8	14.948
ENSG00000007001.13	UPP2	1	1	0	1	5	0	0	0
ENSG00000007038.11	PRSS21	1	6	9	0	2	0	14	111.001
ENSG00000007047.16	MARK4	265.999	238	438	149	125	140.001	186	258.001
ENSG00000007062.12	PROM1	2	13	558.999	106	54	4163	0	1
ENSG00000007080.11	CCDC124	262	138.999	137	76	100	98.999	164	104
ENSG00000007129.18	CEACAM21	43.999	21	5	3	21.001	26.001	14	1
ENSG00000007168.14	PAFAH1B1	3148	1954.946	1569.591	2127.8	2212	3198.77	1491.001	2106.268
ENSG00000007171.18	NOS2	9	11	11	4	6	21	14	7
ENSG00000007174.18	DNAH9	59	12	17	2	56	25	1	0
ENSG00000007202.15	KIAA0100	3635.001	2686	2654	1981.001	2371.999	2042.001	2084	2899.999
ENSG00000007216.16	SLC13A2	0	0	0	0	0	0	2	0
ENSG00000007237.19	GAS7	16960.001	3471	480.001	1666.999	7885	388	470	400.999
ENSG00000007255.10	TRAPPC6A	86	22.999	123	17	34	40.001	18	89
ENSG00000007264.15	MATK	37	35.001	33	3	42	16	6	9
ENSG00000007306.15	CEACAM7	0	1	0	0	0	0	1	0
ENSG00000007312.13	CD79B	91.448	94.886	136.722	16	11	10	7	14.891
ENSG00000007314.12	SCN4A	1	32	114	5	5	8	3	6
ENSG00000007341.19	ST7L	383	166.999	198	157	183.999	147.001	113	276.001
ENSG00000007350.17	TKTL1	0	3	1	0	0	2	2	3
ENSG00000007372.25	PAX6	0	26	160.001	114	2	97.001	208.001	0
ENSG00000007376.8	RPUSD1	211.001	126	128.001	119.001	79	156	188.999	120.999
ENSG00000007384.15	RHBDF1	1580	851.001	404	389.999	892	676	321	92
ENSG00000007392.17	LUC7L	565	772.734	456	909.999	675.999	1092.999	463	872.999
ENSG00000007402.12	CACNA2D2	263	68	143	164.999	16	209.999	32	346.999
ENSG00000007516.14	BAIAP3	46	33.049	121	0	22	78.001	11	7
ENSG00000007520.4	TSR3	470	184	279	213	163	160	327	232
ENSG00000007541.17	PIGQ	500.001	310.158	305.234	209.385	257.002	492.841	166.001	144.836
ENSG00000007545.16	CRAMP1	496.319	599.814	403.585	284.832	375.405	354.364	269.324	447.921
ENSG00000007866.22	TEAD3	159	184	435	162	63	266	145	190.001
ENSG00000007908.16	SELE	73	247	17	7	220	11	2	0
ENSG00000007923.17	DNAJC11	547.001	556.001	262.002	352.001	389	332.002	454	304.003
ENSG00000007933.13	FMO3	158	86	19	1	70	15	23	0
ENSG00000007944.15	MYLIP	885	472	1065	1181	312	746	187	316
ENSG00000007952.18	NOX1	0	0	0	1	0	0	0	0
ENSG00000007968.7	E2F2	16	272	90	48	13	63	37	57
ENSG00000008018.9	PSMB1	1450	699	1069	824	605	1036	1127	967
ENSG00000008056.14	SYN1	16	70.999	13	3	16	16	8	6
ENSG00000008083.14	JARID2	631	706	468	547	602	436	282	435.001
ENSG00000008086.13	CDKL5	355	363	522	1296.001	370	1171	266	115
ENSG00000008118.10	CAMK1G	12	6	5	14	3	19	51	489
ENSG00000008128.23	CDK11A	208.832	303.056	12.309	166.47	162.963	106.767	141.751	78.034
ENSG00000008130.15	NADK	1214.999	566	388.001	294.999	499.001	313.001	414	207
ENSG00000008196.13	TFAP2B	8	51	11	3	98	7	0	0
ENSG00000008197.5	TFAP2D	0	0	0	0	0	1	8	0
ENSG00000008226.20	DLEC1	34	36	6	11	33	18.001	0	5
ENSG00000008256.16	CYTH3	2689	619	1355.999	222.001	1336	1100	1298	476
ENSG00000008277.15	ADAM22	36	208	248	335	125.999	600	21.999	484
ENSG00000008282.9	SYPL1	882	430	1088.999	428.999	396.999	579	985.999	317
ENSG00000008283.16	CYB561	681	493.999	109.999	96	357.999	245	301.001	8
ENSG00000008294.22	SPAG9	4053	2149.999	2727.001	4246	2844	2964	2183.002	2610.002
ENSG00000008300.17	CELSR3	42	76	32	27	63	61.001	42	110
ENSG00000008311.16	AASS	919.001	1012	819.999	1307	1289	3022	355	1034
ENSG00000008323.16	PLEKHG6	0	0	14	2	0	4	1	0
ENSG00000008324.12	SS18L2	117	66	43	35	50.999	62	132	115
ENSG00000008382.16	MPND	97	80	41	19	54.001	72	75	84.999
ENSG00000008394.13	MGST1	28	36	75	41	12	66.001	681.001	21
ENSG00000008405.12	CRY1	411	176	570	369.999	218.001	697	248	721
ENSG00000008438.5	PGLYRP1	0	3	0	0	0	0	0	0
ENSG00000008441.19	NFIX	616.001	770	2466.999	965.999	244	1020	602	491
ENSG00000008513.16	ST3GAL1	1479	1909.001	1260	494	794	774	1273	342
ENSG00000008516.18	MMP25	16.001	114	23	2	13	14	15	21
ENSG00000008517.19	IL32	93.002	1090.001	250.999	46.001	132	47	77	4
ENSG00000008710.20	PKD1	3122.642	2278.31	4409.563	1255.263	1773.288	4257.298	903.253	1029.93
ENSG00000008735.14	MAPK8IP2	38	38	15	1	22	36	20	133
ENSG00000008838.21	MED24	496.001	508.001	455.001	472.001	338.002	562.001	350.001	612.001
ENSG00000008853.18	RHOBTB2	559	284	258.001	300.001	327	588	224	531
ENSG00000008869.12	HEATR5B	867	629.001	760	930	783	756	599	578
ENSG00000008952.17	SEC62	3104	995	1911	1943.001	1293.001	1712.999	1287	1009.001
ENSG00000008988.11	RPS20	6922.955	2253.999	10453.835	4222.995	2440.996	6102.958	8214.987	9325.97
ENSG00000009307.17	CSDE1	13263.005	3999.002	3293.002	4989.999	5240.999	3763.002	5426.001	6186.999
ENSG00000009335.18	UBE3C	1649.999	1170.999	1413.999	752.999	1029	1295.001	1908.001	1179.999
ENSG00000009413.16	REV3L	1776	1459.001	1086	1685.999	855	1926.579	1668.725	1026.319
ENSG00000009694.13	TENM1	33	147	390	823	182	2685	5	6
ENSG00000009709.12	PAX7	0	19	263	0	4	54	0	0
ENSG00000009724.17	MASP2	0	0	0	0	2	1	0	0
ENSG00000009765.15	IYD	0	2	1	0	0	0	4	0
ENSG00000009780.16	FAM76A	337	125	98	152	199.001	68	171	36
ENSG00000009790.15	TRAF3IP3	117	318	24	31.001	231.999	34	35	4
ENSG00000009830.13	POMT2	275.999	314.999	216	156	242	342.998	161.999	110
ENSG00000009844.16	VTA1	608	261	597.001	376	261.001	519	464	474.999
ENSG00000009950.16	MLXIPL	73	27	26.001	0	77	10	1	0
ENSG00000009954.11	BAZ1B	2707	1832	1917	1544	1492.001	2461.999	1577	1546.999
ENSG00000010017.13	RANBP9	786	550	743	485	422	373	394	239
ENSG00000010030.14	ETV7	64	68	4	12	20	2	10	0
ENSG00000010072.16	SPRTN	222	124.001	140	112	121	172.999	126	153
ENSG00000010165.20	METTL13	410.001	289	342.999	185	210	419	247.001	407
ENSG00000010219.14	DYRK4	215.999	134.001	122.863	136.174	121.999	162.001	139.235	10
ENSG00000010244.19	ZNF207	2259	2845	3493.001	3583.999	2179.999	1969	2080.001	4252.001
ENSG00000010256.11	UQCRC1	1401	583.001	611	622.999	420.999	859.999	855	711
ENSG00000010270.14	STARD3NL	608.999	315.999	283	118.001	286.001	347.001	854.001	368
ENSG00000010278.15	CD9	3020.001	633	2017	309	1293.999	821.999	308	40
ENSG00000010282.15	HHATL	0	4	34	0	1	14	0	0
ENSG00000010292.13	NCAPD2	577	831.001	2030.001	749	425.999	1501.999	1138	877
ENSG00000010295.20	IFFO1	521	441	166	310	391.001	382	564.999	267.001
ENSG00000010310.9	GIPR	6	78	5	7	10	10	5	16
ENSG00000010318.22	PHF7	67.001	51.001	46	21	37.999	32	23	18
ENSG00000010319.7	SEMA3G	768	186	85	160	178.999	73	27	89
ENSG00000010322.16	NISCH	2039.999	1889	844.001	597.002	1711.001	2129	1012	1350
ENSG00000010327.10	STAB1	12988	8302	488	586	5847.999	1357.001	6340	272
ENSG00000010361.14	FUZ	176	82.999	124	95.998	104.001	93.002	76	104
ENSG00000010379.16	SLC6A13	9	5	43.999	32.001	5	4	2	0
ENSG00000010404.18	IDS	1779.741	2044.042	1948.782	684.081	1365.42	1262.524	1373.692	234.053
ENSG00000010438.17	PRSS3	1	9	61	1	6	41	182	0
ENSG00000010539.12	ZNF200	213	142	233.001	170	152	221.999	148.001	175.999
ENSG00000010610.10	CD4	1887.001	437.001	152.001	192.001	1007.001	188.001	706	56
ENSG00000010626.15	LRRC23	117.971	63.391	38.052	38	54.576	80.107	68.091	36.085
ENSG00000010671.18	BTK	470	157	20	50	338	65	108	7
ENSG00000010704.19	HFE	437	204.999	134.001	89.999	205	163.001	283.999	71.001
ENSG00000010803.17	SCMH1	450.001	344.866	300.001	296.001	213.001	322.999	266.999	302.001
ENSG00000010810.17	FYN	2196	1002	725.001	933	1050.998	810	1001	140.002
ENSG00000010818.10	HIVEP2	1258.999	1322	1162	1011	699	983	920	395
ENSG00000010932.17	FMO1	899	86.001	242	79	327	127.001	44	1
ENSG00000011007.13	ELOA	1136	706	542	673.999	502	555	749	358
ENSG00000011009.11	LYPLA2	383	329.001	328	167	141	187.001	317.999	105
ENSG00000011021.23	CLCN6	522.001	429.985	137	250	298.999	157.999	283.001	114.116
ENSG00000011028.14	MRC2	2506.001	4689.999	4396	1558.001	934	5344.001	1383.001	3311
ENSG00000011052.21	NME1-NME2	23.575	32.635	48.161	63.308	3.689	39.808	37.373	47.331
ENSG00000011083.9	SLC6A7	4	7	0	0	0	7	2	0
ENSG00000011105.14	TSPAN9	607.999	800	2026	419.001	347	1566.999	723	222
ENSG00000011114.15	BTBD7	841	551.001	1233	613	617	767	498.001	552
ENSG00000011132.12	APBA3	227	209	204	119.999	119.001	270.86	90	102.001
ENSG00000011143.19	MKS1	170.999	182.999	222.999	227	148	337.001	63	206.999
ENSG00000011198.10	ABHD5	300.001	257	127	296.001	182	232	353.001	167.999
ENSG00000011201.12	ANOS1	1460	175	4302	2939.937	693	2627.999	157	16
ENSG00000011243.19	AKAP8L	791.999	828	536.001	463	679	1256	480.001	432
ENSG00000011258.16	MBTD1	377	340	634	427	379	556	205	609.001
ENSG00000011260.14	UTP18	575.001	277	488	530	230	353.001	466.999	463
ENSG00000011275.19	RNF216	1199.328	980.853	1300.944	339.999	808.222	1402.684	1294.394	823.339
ENSG00000011295.16	TTC19	445	315.999	233	287.001	348.207	458.999	262.968	554.002
ENSG00000011304.22	PTBP1	2286	1890	2259.001	1220.002	1055	1880.999	1584	1759.001
ENSG00000011332.22	DPF1	12	8	8	10	4	25	23	127
ENSG00000011347.10	SYT7	47	227	98	5	15	134	132	25
ENSG00000011376.12	LARS2	624	318	302.999	206.001	266	447	426.999	565.999
ENSG00000011405.14	PIK3C2A	2311	1463	757	1259	1525.001	849	1770.001	1041
ENSG00000011422.12	PLAUR	409	967.998	169.999	139.999	300.999	96	1334	77
ENSG00000011426.11	ANLN	127	225.001	1121.999	268	130.999	1103	2723.001	1072.001
ENSG00000011451.21	WIZ	531.999	467.999	567	188	253	453.999	225	210
ENSG00000011454.18	RABGAP1	1751	774	1120	1383.001	770.001	1154.002	585	1040
ENSG00000011465.18	DCN	40452	10717.001	26396.999	20230.001	14847	15875.999	10406	106.001
ENSG00000011478.13	QPCTL	77.001	53	29	23	29.999	21	43	34
ENSG00000011485.15	PPP5C	606	378	674.001	427	267.001	302	332.999	790
ENSG00000011523.14	CEP68	768	375	737	534	488.001	445	399	455
ENSG00000011566.15	MAP4K3	789.999	498	662.001	717	492	926.999	765	327.001
ENSG00000011590.14	ZBTB32	1	121	1	2	0	1	0	1
ENSG00000011600.12	TYROBP	1485.999	304	128	139	461	107.999	367	18
ENSG00000011638.11	LDAF1	195.999	89.001	183.001	181.999	103	117.999	560	239
ENSG00000011677.13	GABRA3	28	0	127	1	21	36	0	24
ENSG00000012048.23	BRCA1	183	282.999	410	300.999	172.999	505.001	298.002	516.001
ENSG00000012061.16	ERCC1	1269.001	447	630	805.999	676.002	407	415	485
ENSG00000012124.17	CD22	225.999	59.999	149.001	84.001	139.001	137.001	12	21
ENSG00000012171.20	SEMA3B	4815.999	797.999	392	68.999	3187	1100.999	14	28
ENSG00000012174.12	MBTPS2	234	280	451	378.17	230	279	474	332
ENSG00000012211.13	PRICKLE3	72	83	73.999	30	48.001	39.001	104.999	37
ENSG00000012223.13	LTF	7	21	1	0	9	2	48	12
ENSG00000012232.10	EXTL3	1284	718	553	477	686.999	1155.999	460.001	349.001
ENSG00000012504.15	NR1H4	0	1	2	0	7	0	0	0
ENSG00000012660.14	ELOVL5	2912.001	1225	952.999	1073.001	1447.001	1405	1665	1184
ENSG00000012779.12	ALOX5	391.999	695	62	74	489.001	46	466	23
ENSG00000012817.16	KDM5D	924	0	0	3213.999	0	2	2	0
ENSG00000012822.16	CALCOCO1	1351.001	1238	521.001	530.999	1058.998	1251.001	673	286
ENSG00000012963.15	UBR7	550	297	1133	526	278	537.803	461	365
ENSG00000012983.12	MAP4K5	993	664.999	953.998	990	921	1225	836.001	550
ENSG00000013016.16	EHD3	286	349	144	143	252	314	554	1261
ENSG00000013275.8	PSMC4	949	429.001	490	745.001	381.999	313.001	442	342
ENSG00000013288.9	MAN2B2	1242	588	242	511	587	362.001	480.999	179
ENSG00000013293.6	SLC7A14	0	7	16	1	56	4	73	2
ENSG00000013297.12	CLDN11	142	184	23.958	3	193.845	21.21	2353.999	8
ENSG00000013306.16	SLC25A39	668.999	440	537.999	353.999	359	716.002	462.999	605.999
ENSG00000013364.19	MVP	2733.356	2565.512	802	273	1315.001	440.247	3023.744	370
ENSG00000013374.17	NUB1	999	710	594	564	632.999	663.001	768	459
ENSG00000013375.16	PGM3	813	723.999	1254.999	923	547.999	1150	1155	654
ENSG00000013392.8	RWDD2A	144	67	71	62	92	95	67	53
ENSG00000013441.17	CLK1	1150.001	1294.999	608	1320.002	1397	1873.999	1539	847
ENSG00000013503.10	POLR3B	161	167	295.999	187	122	208	163	272
ENSG00000013523.11	ANGEL1	621.173	509.531	314.018	224.217	529.555	294.533	296.564	207.809
ENSG00000013561.18	RNF14	1195	453.001	608.002	444.001	528.999	613.003	519	465
ENSG00000013563.14	DNASE1L1	797.999	238.999	419	58	232.999	448	168	174
ENSG00000013573.17	DDX11	330.42	567.379	260.69	323.239	287.737	437.571	248.012	521.421
ENSG00000013583.10	HEBP1	159	139	147	28	80.999	113	238	56.001
ENSG00000013588.9	GPRC5A	59	126.001	144	43	17	49	215	15
ENSG00000013619.15	MAMLD1	160	90	50.999	19	80.001	35	88	422.999
ENSG00000013725.14	CD6	28	237.001	24	6	55.001	3	13	2
ENSG00000013810.21	TACC3	170	736	278	182.999	165	524.999	350.001	412
