gene_id	gene_name	JH.2.085.F2983.F783D	JH.2.086.5EA11.494GE	JH.2.089.H8EBA.HH51C	JH.2.090.19D3F.G36F6	JH.2.091.CAA8H.GDFG1	JH.2.092.B4F11.2H1C1	JH.2.092.B52E5.BFCBA	JH.2.093.214AE.H5A8H	JH.2.094.5HA24.CC3H4	JH.2.100.19H33.94G2C	JH.2.104.51E2H.1G93A	JH.2.107.AGD39.1CH62	JH.2.111.G645D.6C5FF
ENSG00000004777.19	ARHGAP33	57	57	81	42	180.999	72.001	52.999	65.999	78.999	91	66	10	95
ENSG00000004779.10	NDUFAB1	157	241.999	113	275.001	159	176.001	137	155	259	155	148	279	187.999
ENSG00000004799.8	PDK4	884	705	827	369	788.001	131	159	117	346	411.001	4072.998	577	594
ENSG00000004809.14	SLC22A16	42	4	17	11	10	4	10	9	128	7	7	11	21
ENSG00000004838.14	ZMYND10	27	8	25	6	11	3	3	5	15	5	5	5	7
ENSG00000004846.17	ABCB5	187.999	394.999	106.001	2	122	0	1	1	29	266	70	37	50.001
ENSG00000004848.8	ARX	1	0	5	0	0	0	0	0	4	4	1	0	1
ENSG00000004864.14	SLC25A13	167.001	373	141	247	288.001	172	193.999	311.001	236	178	213.999	288	182
ENSG00000004866.22	ST7	120.998	160	80.367	140	116	114.999	83.001	153.002	191.999	80.82	163	165.308	124.001
ENSG00000004897.12	CDC27	733.998	980.95	611.001	1143	817.999	866	959	566	1065	457	811	1183.998	876.002
ENSG00000004939.16	SLC4A1	0	1	1	20	0	0	1	0	0	0	0	0	0
ENSG00000004948.16	CALCR	26	8	45	0	27	15	23	1	44	27	60	112.999	32.001
ENSG00000004961.15	HCCS	79	116.001	58	139	99	97	89	107	147	62	83	128.999	96
ENSG00000004975.12	DVL2	363.001	364.999	256	345	371.999	377.997	285.002	321.999	559.001	263.001	272	208	335.001
ENSG00000005001.10	PRSS22	0	0	0	1	0	0	2	283	0	0	0	0	1
ENSG00000005007.13	UPF1	896.999	953.997	620.002	1254	983.999	906.999	773	882	1159.323	698	676.001	458.002	772
ENSG00000005020.13	SKAP2	452	71	538	657	504.999	187	220	136	370.001	363	449	921.001	229
ENSG00000005022.6	SLC25A5	549	581	303	1285	405	390	357	1862	756	429	416	1127	364
ENSG00000005059.16	MCUB	128.999	147	68	311.001	72	108	149	172.001	135	72	81	164	92.001
ENSG00000005073.6	HOXA11	24	21	2	0	2	9	4	0	22	3	0	9	15
ENSG00000005075.16	POLR2J	92.445	107.921	84.439	158.786	109.179	105.875	95.978	88.545	187.415	123.827	90.519	158.709	93.723
ENSG00000005100.13	DHX33	174	257	143.001	391	270	234	190.001	306	260	149	211	145	238.999
ENSG00000005102.14	MEOX1	85	132	90	502	178	224.999	137	259.001	596	126	153	349	400.001
ENSG00000005108.17	THSD7A	718	189	532	190	435	515	777	240	209	591	586	733	1148
ENSG00000005156.12	LIG3	471	501	299.001	476.999	467.999	591.001	427	667.001	735.999	314	498.002	391	494.999
ENSG00000005175.10	RPAP3	114	188.001	197	318.999	226	186	208.001	43	200.999	128.001	199.001	215.999	208.001
ENSG00000005187.12	ACSM3	27	5	13	35	14	19	45.001	9	10	5	19	13	17
ENSG00000005189.20	REXO5	16	34	11	22	20	18	20	23	23	12	9	25	16
ENSG00000005194.15	CIAPIN1	193.999	261	131.999	299.001	172	184.001	160.999	297.999	340	136	170	260.001	176.999
ENSG00000005206.17	SPPL2B	450.999	448	372	539.999	677	448.002	362.999	311	671.467	485	379.999	194	397.001
ENSG00000005238.20	FAM214B	230	300.999	162.999	305.999	240	224.001	169	198.001	406	188.999	165	312	174
ENSG00000005243.10	COPZ2	169.001	194.001	156.001	119	191.999	218	143.999	221	443.999	179.001	168.999	240.001	210
ENSG00000005249.13	PRKAR2B	99	127	70	154	78	59	80	36	279	63	112	87	102
ENSG00000005302.19	MSL3	293	269.999	338.002	691.999	376.001	288	299	233.999	427.002	270	381.001	353.999	356.999
ENSG00000005339.15	CREBBP	1706.999	1777	1557	1450.999	2138.999	2139	1724.999	1580.998	2416.001	1300.363	1598.999	930	1785
ENSG00000005379.17	TSPOAP1	26	257	95	357	461.001	305	219	136.999	194.001	54	273	58	98
ENSG00000005381.8	MPO	1	1	0	507.001	1	2	2	0	1	1	0	2	0
ENSG00000005421.9	PON1	0	5	0	1	0	1	2	0	0	0	2	0	0
ENSG00000005436.14	GCFC2	180.999	270	202.999	252	246	224.001	293	70	257.999	175.001	240	271.001	258.999
ENSG00000005448.17	WDR54	58	77	43	52.999	48.999	62	46.999	37	169.999	34.001	49	44	55
ENSG00000005469.12	CROT	74.001	214	111.001	112	147	196	179	252	179.999	105	137.999	170	148
ENSG00000005471.19	ABCB4	56.999	199.657	37.999	180	125	172	149	104.001	99	62	208.641	159.001	65.232
ENSG00000005483.22	KMT2E	1756	2224.999	1271.999	1798	1645.001	2092.002	2241.999	846	1464	975	1642	1137	1805.999
ENSG00000005486.17	RHBDD2	456	294.001	216.999	317.999	435	358	229.001	411.001	721	335.001	285	419	408
ENSG00000005513.10	SOX8	1109	1036	1697	459	894	1248	750	278	3208	1198	1136	546	1761
ENSG00000005700.15	IBTK	774	978	703.999	1006	769	974.998	1078.001	557	1099	601	869.999	1289.001	947.999
ENSG00000005801.18	ZNF195	138.002	214	236	512.001	359	239.999	274	218	260	211	362	221.001	251.999
ENSG00000005810.20	MYCBP2	2695.002	4614.999	2663.001	6240.999	3384.002	4026.003	3928.001	4472.001	4309.002	2119	3465	3843.002	3208
ENSG00000005812.11	FBXL3	684	1422	622	895.999	649	1113	1291.999	533.999	1115	582	709	883	916
ENSG00000005844.19	ITGAL	318	32	338	858.999	282.999	83	128	188.001	235.999	230	298	249.999	208
ENSG00000005882.12	PDK2	232	249	175.999	126.001	229	321	253.001	162	337.001	223.001	269	213.001	198.001
ENSG00000005884.18	ITGA3	1182.999	1153.999	638.999	1063	2012	1417	976.999	2454	2617.001	2024.999	1099	2456	838.04
ENSG00000005889.16	ZFX	601	1139.001	716.642	815.599	749.999	1342	1454.999	560.999	1446	821.001	892.001	893.999	838.001
ENSG00000005893.16	LAMP2	1898	2960.999	1580	1799.999	2598	1848.999	2214	1520	2996.001	2276	2078.001	3408.001	2384
ENSG00000005961.19	ITGA2B	17	3	6	9	15	12.004	6	6	11	5	17	5	8
ENSG00000005981.13	ASB4	3	7	1	1	1	0	5	0	1	2	7	5	4
ENSG00000006007.12	GDE1	322.999	478	231.999	387.001	388.096	322.999	306	335	611	351	396	738	336.999
ENSG00000006015.18	REX1BD	200.999	246	188	319	311.001	212	202.999	153	303	300.999	240.001	228.998	202
ENSG00000006016.12	CRLF1	204	452.001	171	421	165.001	763.001	560	193.999	548	710	256	220	462
ENSG00000006025.12	OSBPL7	125.999	87	112	168.001	247	169	112.999	69	195	140.999	183	87	117.001
ENSG00000006042.12	TMEM98	667	641.001	503	390	392	661	411	191	1269	348	497	488.999	630
ENSG00000006047.13	YBX2	0	0	0	3	1	0	0	2	2	0	0	1	1
ENSG00000006059.4	KRT33A	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062.18	MAP3K14	430.999	216.001	235.001	609	449.999	285	197.001	387	436.999	296.001	279.999	248.001	289.999
ENSG00000006071.16	ABCC8	17	59.001	51	20.999	238.001	45.998	24.999	8	187.999	62.999	33.999	63	45.999
ENSG00000006116.4	CACNG3	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006118.15	TMEM132A	221.999	100	161	130.001	222.001	306.999	226	108.001	385	333	150	129	171
ENSG00000006125.18	AP2B1	1594	1947	1264.001	1652	1984.001	1804	1567.001	1667	2996	1124.999	2018.001	1919.999	1745.999
ENSG00000006128.12	TAC1	68.999	56	24	309	107	12	6	124.999	272	27.999	27.001	68	94
ENSG00000006194.10	ZNF263	423	425.001	264.001	587.001	352	399.001	353	271.999	604	208	290	276.998	369
ENSG00000006210.7	CX3CL1	173	144	90	292	95	165.001	114	109	155	87	117	43	75
ENSG00000006282.21	SPATA20	354.001	291	280.999	250	479.002	463.002	299	219	594.001	515.999	450	466	365.001
ENSG00000006283.18	CACNA1G	2	7	4	51	5	2	4	104	7	1	1	0	2
ENSG00000006327.14	TNFRSF12A	326.999	88	168.001	1229.999	360	572.999	133	405	775	410.999	147	589	392
ENSG00000006377.11	DLX6	10	1	2	7	4	2	2	3	10	8	14	6	6
ENSG00000006432.16	MAP3K9	12	21	20	79.999	28	7	11	315	9	27	33	50	11
ENSG00000006451.8	RALA	243	319	196.001	457	313.999	315	326	185	302	218	289	365	330
ENSG00000006453.14	BAIAP2L1	25	56	22	12	14	7	7	119	20	19	13	10	14
ENSG00000006459.11	KDM7A	1032	917	695	1077	668	705	734	835.001	1018	402	784	955	750
ENSG00000006468.14	ETV1	1913	3701.001	1416.997	143.999	1052.999	1048	1089.001	192.999	2700.999	453.999	1396	1124	896.999
ENSG00000006530.18	AGK	199	351.001	231	325.001	349	446.001	336.001	289.001	372.001	155.999	335.002	302.998	272.999
ENSG00000006534.17	ALDH3B1	193	162.999	180	104	301.996	142	139	161.515	312	360	226.999	400	219
ENSG00000006555.11	TTC22	3	0	5	27	2	0	3	170.999	3	0	7	3	3
ENSG00000006576.17	PHTF2	305	367	259	577.999	344	266.999	328	266.999	511	206	315.002	344	276.001
ENSG00000006606.9	CCL26	5	2	17	4	4	0	0	1	12	5	1	0	13
ENSG00000006607.14	FARP2	1098	1148	1004	712.999	1619	816.999	741	975.998	1692.001	754	1461	1537	905.002
ENSG00000006611.17	USH1C	0	0	0	6	0	0	0	0	1	0	0	0	0
ENSG00000006625.18	GGCT	116	110.175	102.749	270	142.779	79	80	221	108.001	104.999	102.977	229.216	122
ENSG00000006634.8	DBF4	38.001	46.999	44.999	159.001	41.979	29	32	34.001	55.986	26	41	82.986	31
ENSG00000006638.13	TBXA2R	17	9	24	28	51	37	27	14	34	43	19	29	99
ENSG00000006652.15	IFRD1	604.085	482.339	306.782	578.663	403.732	398.012	381.001	228.09	451.818	410	449.987	700.469	372.955
ENSG00000006659.13	LGALS14	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006695.12	COX10	70.454	121.588	81.488	169.922	116.466	114.466	106.808	163.536	148.095	70.074	102.048	144.25	82
ENSG00000006704.11	GTF2IRD1	203	142.001	122	80	181	175.001	122.001	193	202	153.999	131.001	128	223
ENSG00000006712.15	PAF1	345	428.001	231.999	412.002	405	419	316	294	543	261	321	361.001	351
ENSG00000006715.16	VPS41	728	1078	566.999	737.001	815	578	711	461	705	566.001	867.999	1063.001	581
ENSG00000006740.18	ARHGAP44	89	61.001	49.999	53	38	40.999	55	29	94.001	33	45	35.001	52
ENSG00000006744.19	ELAC2	257.001	501.001	235.998	594	478.001	529.999	360.999	646.999	649.001	318.001	477	460.001	397
ENSG00000006747.15	SCIN	725.954	111	747.001	17	1082	41	40	11	364.001	529	691	1784.519	232
ENSG00000006756.16	ARSD	136	543.999	177	187	332	706	557	253	570.999	269.001	326	345.001	273.981
ENSG00000006757.12	PNPLA4	24	83.999	40	46	31	24	28	57	71	32	27	54	27
ENSG00000006788.14	MYH13	0	0	0	0	0	0	0	3	0	0	0	0	0
ENSG00000006831.10	ADIPOR2	885.001	918	597.999	639.999	873	650	562	673	1164.999	410	801	644.001	569
ENSG00000006837.12	CDKL3	19.577	25.879	23.233	11.136	22.541	31.347	21.213	1.087	25.097	14.239	21.128	20.655	31.353
ENSG00000007001.13	UPP2	0	0	0	0	0	0	0	0	2	0	1	0	1
ENSG00000007038.11	PRSS21	1	0	0	3	0	1	0	2	1	1	3	0	0
ENSG00000007047.16	MARK4	198	174	152.001	197	227	172	148	223	272.001	134	158	76	142.999
ENSG00000007062.12	PROM1	3	3	1	5	1	0	0	5	2	0	2	0	0
ENSG00000007080.11	CCDC124	132	156	134	164	168	151	131	198	218	167.001	111	138.001	166
ENSG00000007129.18	CEACAM21	14	3	17	50	37.999	6	10	7	25	17	31	100.001	13.001
ENSG00000007168.14	PAFAH1B1	2026.26	2998.457	1689.998	2240.32	2269.607	2758	2510.656	2198.238	3129.999	1544	2286.417	2463.687	2464.764
ENSG00000007171.18	NOS2	6	5	7	42	20	6	5	3	14	8	4	14	7
ENSG00000007174.18	DNAH9	116	4	104.001	1	44	8	13	22	49	35	15	5	34
ENSG00000007202.15	KIAA0100	1901.001	2103	1794.001	2733.999	2478	2261.001	1854	3114.998	3622.998	1746	2475	2845	2263.001
ENSG00000007216.16	SLC13A2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007237.19	GAS7	6041	11459	6813.003	4084	13315.999	16720.999	12356.999	6958	23350	8360.002	11345.998	5793.999	9456.998
ENSG00000007255.10	TRAPPC6A	30	79	23	97.999	45	42	45	44	48.001	42.999	55	71	36.999
ENSG00000007264.15	MATK	12	2	34	67	30	5	12	30	29	11	40	39	23
ENSG00000007306.15	CEACAM7	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000007312.13	CD79B	27	126	15.831	488.811	46.553	71.684	57	62	125	18	28	32	34.675
ENSG00000007314.12	SCN4A	3	585.001	2	28	5	55	9	8	73	2	229.999	1	2
ENSG00000007341.19	ST7L	168.001	208	193	166.998	191.001	228.998	214	163.001	292.999	120	207	200.999	211
ENSG00000007350.17	TKTL1	1	2	3	4	0	0	0	2	0	0	1	0	0
ENSG00000007372.25	PAX6	2	1	2	2	1	1	1	0	4	3	0	0	2
ENSG00000007376.8	RPUSD1	49	109	74.001	209	117	93	57	122	150	87.001	66.999	94	93.001
ENSG00000007384.15	RHBDF1	854	673.001	799.002	406.001	1680	1195.999	779	637	1575.001	1269.999	1150.001	844	1457.999
ENSG00000007392.17	LUC7L	823.999	581	553	951	788	617	526.999	393.001	739	579.999	668	376	604
ENSG00000007402.12	CACNA2D2	30	25	63	41	24	99	69	27	50	40	35	16	70
ENSG00000007516.14	BAIAP3	12	97	28	51	52	175	92	22	43	8	63.999	4	49
ENSG00000007520.4	TSR3	129	270	173	203	223	234	181	241	320	245	164	259	236
ENSG00000007541.17	PIGQ	267.36	218.652	275	303.624	481.002	356.15	222.292	297.724	520.595	270.642	296.001	177.807	327.001
ENSG00000007545.16	CRAMP1	425.366	435.532	390.48	458.963	580.702	528.002	405.68	399.885	631.363	411.026	458.487	237.116	434.412
ENSG00000007866.22	TEAD3	161	90	44	225	118	116	80	281	180	68	93	42	77
ENSG00000007908.16	SELE	12	74	15	1401.001	17	53	59	220	20	30	39	16	218
ENSG00000007923.17	DNAJC11	354.999	455.999	313.001	521.999	520.998	472	320	570	586.999	300.001	463.998	345.001	468
ENSG00000007933.13	FMO3	35	2042.999	41	153	104	620.999	593	224.999	1781	16	237	105	112
ENSG00000007944.15	MYLIP	229	1185	194	494	291	681	736	403	433	199	321	630	365
ENSG00000007952.18	NOX1	0	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000007968.7	E2F2	10	0	3	134	9	0	5	138	9	4	3	6	3
ENSG00000008018.9	PSMB1	610	789	404	937	528	639	524	732	1030	470	568	1149	605
ENSG00000008056.14	SYN1	9	1	9	5	28	8	3	12	24	8	10	6.058	8.641
ENSG00000008083.14	JARID2	528	455	460	613	732	543	495	733	749	412	629	532	513
ENSG00000008086.13	CDKL5	298.001	497	279.001	260.999	296.001	425	480	279	593	156	440.999	300	272.999
ENSG00000008118.10	CAMK1G	1	0	0	0	3	0	0	0	2	1	9	0	0
ENSG00000008128.23	CDK11A	104.858	146.442	110.849	314.223	248.456	166.952	111.612	151.096	228.618	189.495	169.135	177.864	151.053
ENSG00000008130.15	NADK	519.001	245.999	284.999	885.002	506.001	325.999	300	479	706	322.999	397	466.001	329
ENSG00000008196.13	TFAP2B	5	148	1	30	55	144	141	33	327	0	140	8	31
ENSG00000008197.5	TFAP2D	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226.20	DLEC1	42	14	31.999	31	48	18	23	18	56	35	44	29	45
ENSG00000008256.16	CYTH3	1350	976.001	934.001	615.001	1063	2355.001	1709	988.999	2379	741	1263.999	968	1536.999
ENSG00000008277.15	ADAM22	34	431	17	267.001	53	107	229	165	70.999	18	56	75	34
ENSG00000008282.9	SYPL1	403	796	375	660	456	676	795.999	694	610	320	545	560	427
ENSG00000008283.16	CYB561	205.003	245	234.001	187.999	232	232.999	146.001	537	559	153.999	193.001	193	381
ENSG00000008294.22	SPAG9	3250.001	3050	2140.999	2643	3030	3443.999	3578.999	1606.001	4302.001	2324.001	3002	2438	2925
ENSG00000008300.17	CELSR3	33	24	39	38	72	38	18	45	73	122	33	31	34
ENSG00000008311.16	AASS	1109.999	1460.001	1065.001	588.999	1557.998	1058.001	1483.001	523.001	1166	990	1545.001	846	1060
ENSG00000008323.16	PLEKHG6	1	3	0	6	1	1	0	52	3	0	1	6	2
ENSG00000008324.12	SS18L2	37	70	36	127	41	40	45	36	52	34	39	94	50
ENSG00000008382.16	MPND	40	73	37.001	59	76	76	46	69	108.001	52	39.001	58	63.999
ENSG00000008394.13	MGST1	4	16	5	79	5	7	14	20	12	11	2	7	5
ENSG00000008405.12	CRY1	249	195	114	671	160	209	125.001	161	254	133.001	163	188.999	167.999
ENSG00000008438.5	PGLYRP1	0	0	0	26	0	0	0	0	0	0	0	0	0
ENSG00000008441.19	NFIX	562.999	2606.999	333	690.001	579.001	1394.999	1287.002	1477	1162.001	385	293.001	168	565
ENSG00000008513.16	ST3GAL1	1055.001	1235.001	497	1512.999	908	583	507.001	682.999	1053.999	301.001	1187.001	970.999	666.999
ENSG00000008516.18	MMP25	1	8	3	67	11	3	1	39	5	7	2	6	4
ENSG00000008517.19	IL32	84	28	79	616.002	85.999	34	58	166.999	112.001	29	93.001	183	48.001
ENSG00000008710.20	PKD1	2202.374	2929.363	2337.098	1881.049	4020.444	4212.086	2933.371	2476.758	3871.673	2452.691	2066.104	1157.267	2795.468
ENSG00000008735.14	MAPK8IP2	10	35	21	4	15	4	5	37	25	26	14	10	10
ENSG00000008838.21	MED24	302.108	332.999	277.001	468.999	437.001	442.998	263	488	528.001	290.002	336.999	300	343.001
ENSG00000008853.18	RHOBTB2	271	281	316	248.999	448.999	435	305	221	621	337	342	312.002	374
ENSG00000008869.12	HEATR5B	737.001	821	610	864	844.001	704	683	747.999	884.001	614	868	781.001	711
ENSG00000008952.17	SEC62	1169.001	1765.001	1230	1743	1275	1315.999	1637.001	271.999	1625	1075.001	1548	1764	1526.999
ENSG00000008988.11	RPS20	2655.988	5651.98	1771.997	4964.945	2083.077	2508.988	2377.992	2167.991	4040.994	1677.982	2245.984	5401.99	2351.976
ENSG00000009307.17	CSDE1	5335	7477.999	4117.001	5599	5316.999	4888.999	5158	4021	6657.999	4273.001	5403.999	7685	5748.001
ENSG00000009335.18	UBE3C	852.999	1011.999	746.999	1347	964.999	1038.001	940.999	1507	1537.999	704.001	1027.999	1180	1019
ENSG00000009413.16	REV3L	1145.939	1445	765.666	1402	796	571	881.001	911	745.002	596.501	731	669.001	830.401
ENSG00000009694.13	TENM1	94	654	55	184	42	167	288	204	138	47	192	90	65
ENSG00000009709.12	PAX7	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000009724.17	MASP2	0	0	5	2	4	0	0	0	2	10	0	0	3
ENSG00000009765.15	IYD	0	1	0	0	0	0	0	0	0	2	0	0	0
ENSG00000009780.16	FAM76A	141.001	255	122	131.001	203.999	213	185.999	155	252	139	139	192.999	219
ENSG00000009790.15	TRAF3IP3	75.999	30.999	181.999	630.001	241	55	96.999	80	131.999	137	213.001	154.001	130
ENSG00000009830.13	POMT2	232.002	288.999	220	198.001	343.999	244.999	153	183.999	450	229.999	281.002	168.999	249
ENSG00000009844.16	VTA1	236	334	253	395.999	253.999	322.999	334.999	211	390	203	264.001	471.001	291
ENSG00000009950.16	MLXIPL	55	2	95	6	187.999	1	1	9	69	192	83.001	23	39
ENSG00000009954.11	BAZ1B	1338.001	1641	1180	2011	1745	1648	1447	728	1902	1186.001	1657	1402	1485
ENSG00000010017.13	RANBP9	356	488	310	550	478	377	372	336	535	306	423	537	416
ENSG00000010030.14	ETV7	19	11	10	31	33.001	19	18	40	27	16.001	26	12.999	22
ENSG00000010072.16	SPRTN	80	180.999	93.999	208	121	115	133	114	172	68	96	212	118
ENSG00000010165.20	METTL13	176	223.999	151	344	287	287.001	210	322	315	164	236.999	243	244
ENSG00000010219.14	DYRK4	85	110.184	95.001	83.866	191	60	68.999	63.988	165	100.998	162.729	248	77.544
ENSG00000010244.19	ZNF207	1939.999	2720	2147.999	3435.997	2410.999	2163.002	2779.001	2075.001	2521	1448	2472	2648.999	2423.918
ENSG00000010256.11	UQCRC1	484	595.999	344	806.001	522	606.999	432	1218.999	954	482.001	450	843	543
ENSG00000010270.14	STARD3NL	266	254	201	270	253.001	206.001	168.001	136.999	288	243	252	403	219.999
